label,epoch,step,loss,lr
r64,1,1,1.7924455106258392,3.3333333333333335e-05
r64,1,5,1.882504403591156,0.0001666666666666667
r64,1,10,1.8834146857261658,0.00019795299412524945
r64,1,15,1.6456712633371353,0.00018978045395707418
r64,1,20,1.5201397389173508,0.0001758758122692791
r64,2,25,1.2527859807014465,0.00015712682150947923
r64,2,30,1.2551138997077942,0.00013473052528448201
r64,2,35,1.1847781389951706,0.00011011683219874323
r64,2,40,1.1544093564152718,8.485722224954237e-05
r64,2,45,1.3124460577964783,6.0564414488668165e-05
r64,3,50,1.1881807893514633,3.878940174523371e-05
r64,3,55,1.4039498940110207,2.092242630623016e-05
r64,3,60,1.2899156510829926,8.10421883797694e-06
r64,3,65,1.4578171223402023,1.1531675671888619e-06
